feature,importance,method,target,target_column,model_name
future_wind_day3_avg,0.001090976054728411,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
relative_humidity_2m,0.0007664069962654918,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
aqi_lag_6h,0.000676809753278582,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
sulphur_dioxide,0.000555783209756252,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
aqi_rolling_mean_3h,0.000486027133103597,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
hour,0.0003939192378253097,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
pm2_5,0.0003318476699357507,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
aqi_change_rate_3h,0.0002986900644066542,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
ozone,0.00022606102478778896,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
wind_direction_10m,0.00022197528022038993,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
aqi_change_rate_1h,0.00018210215032054918,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
temperature_2m,0.00016313729087261042,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
pm25_lag_24h,0.0001575676180070791,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
pm10_lag_24h,0.00015394068814913458,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
nitrogen_dioxide,0.00015077425002710265,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
dust,0.00014454197524939457,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
pm10,0.00012400845079173583,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
wind_speed_10m,8.144131085727618e-05,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
carbon_monoxide,7.99933944797491e-05,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
precipitation,0.0,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
future_precip_day1_sum,0.0,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
future_precip_day2_sum,0.0,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
future_precip_day3_sum,0.0,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
future_temp_day1_avg,0.18772888755878264,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
pm10_rolling_mean_24h,0.14639772378717059,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
aqi_lag_24h,0.10955371400569766,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
us_aqi,0.07154457091245778,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
future_humidity_day2_avg,0.060969124482522,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
aqi_rolling_mean_12h,0.056161706423112585,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
future_temp_day2_avg,0.048824788045243005,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
future_temp_day3_avg,0.04539765345953073,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
future_pressure_day3_avg,0.043709888489747,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
aqi_lag_12h,0.03979112592450904,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
aqi_lag_3h,0.035248036238094166,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
