feature,mean_abs_shap,target,target_column,model_name,rows_explained,background_rows
carbon_monoxide,0.01235183557006699,day_3,target_aqi_day3_avg,extra_trees,120,60
wind_speed_10m,0.011267309979964812,day_3,target_aqi_day3_avg,extra_trees,120,60
pm10,0.010904915534609705,day_3,target_aqi_day3_avg,extra_trees,120,60
temperature_2m,0.010559829724470537,day_3,target_aqi_day3_avg,extra_trees,120,60
aqi_change_rate_1h,0.00894158520799273,day_3,target_aqi_day3_avg,extra_trees,120,60
month,0.0,day_3,target_aqi_day3_avg,extra_trees,120,60
precipitation,0.0,day_3,target_aqi_day3_avg,extra_trees,120,60
future_precip_day1_sum,0.0,day_3,target_aqi_day3_avg,extra_trees,120,60
future_precip_day2_sum,0.0,day_3,target_aqi_day3_avg,extra_trees,120,60
future_precip_day3_sum,0.0,day_3,target_aqi_day3_avg,extra_trees,120,60
pm10_rolling_mean_24h,5.607759343409139,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
future_temp_day1_avg,5.484805627565617,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
future_temp_day3_avg,3.859714625265253,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
aqi_lag_24h,3.668343159111771,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
future_wind_direction_day3_avg,3.305081157031038,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
future_pressure_day1_avg,2.4990723514488593,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
future_pressure_day3_avg,2.378323143792749,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
future_temp_day2_avg,2.2235942975384964,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
future_humidity_day2_avg,2.059026384845001,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
us_aqi,1.8594523291381402,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
aqi_rolling_mean_12h,1.789386032099973,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
future_humidity_day1_avg,1.5630367151090592,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
aqi_lag_12h,1.4916292306267234,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
aqi_lag_3h,1.4794590069187543,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
future_wind_day3_avg,1.206387035654088,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
aqi_rolling_mean_24h,1.1860120167717816,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
aqi_rolling_mean_3h,1.0510042782605822,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
aqi_rolling_mean_6h,1.019854254610313,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
pm25_rolling_mean_24h,1.0039648901549842,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
aqi_lag_1h,0.9586400260781378,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
future_wind_day1_avg,0.9232098667782732,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
wind_speed_rolling_mean_24h,0.8765125692948653,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
aqi_lag_6h,0.8383112044806641,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
future_wind_direction_day2_avg,0.6327307668946589,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
dayofweek,0.5718978599663559,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
surface_pressure,0.49034236083900634,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
future_humidity_day3_avg,0.36242559191498114,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
pressure_rolling_mean_24h,0.35799716884882715,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
day,0.34724192008351124,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
future_wind_day1_max,0.26040362906059833,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
